trader_id,sentiment,trades,total_pnl,avg_pnl,avg_trade_size,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1878,1238142.768956,659.2879493908413,16916.688365282214,0.5181043663471778
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,1519,236436.934283,155.65301796115867,13234.26366688611,0.10204081632653061
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2792,-5893.889851999999,-2.110992067335243,1053.1071597421203,0.4674068767908309
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,3768,65712.290491,17.43956754007431,2125.9395833333333,0.4400212314225053
0x271b280974205ca63b716753467d5a371de622ab,Fear,2665,46828.795402,17.571780638649155,6896.369140712946,0.3804878048780488
0x271b280974205ca63b716753467d5a371de622ab,Greed,545,-98226.646159,-180.2323782733945,19534.67234862385,0.24954128440366974
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1973,-12243.487425,-6.205518208312214,699.9582767359351,0.38874809934110494
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,10451,139202.552615,13.319543834561285,456.0852483015979,0.4456032915510477
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,493,15394.438559,31.226041701825558,1748.446024340771,0.4908722109533469
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,1731,110970.723359,64.10787022472559,3502.0237781629116,0.49566724436741766
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,519,-57434.884669,-110.66451766666667,1472.611233140655,0.3911368015414258
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,263,27460.191787,104.41137561596958,2303.259809885931,0.5627376425855514
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,3139,-21494.473744000003,-6.847554553679517,4124.874609748327,0.3115641924179675
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,178,24998.14512,140.4390175280899,7191.4760112359545,0.47752808988764045
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,98,4367.112673,44.56237421428571,4101.262244897959,0.6938775510204082
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,232,41109.971474000005,177.19815290517244,2923.4369827586206,0.38362068965517243
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,159,109109.360637,686.2223939433962,4821.791949685535,0.2389937106918239
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,176,16102.56859,91.49186698863637,5784.257159090909,0.1534090909090909
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,316,5615.052102,17.769152221518986,3294.5072151898735,0.0759493670886076
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,787,351965.440509,447.22419378526047,1650.7591994917407,0.6442185514612452
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,1315,-4527.9582900000005,-3.4433142889733843,549.7747984790874,0.3429657794676806
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,6548,103842.432763,15.858648864233354,515.394013439218,0.34697617593158214
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,2382,463478.122344,194.5751982972292,12035.890978169606,0.3677581863979849
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1302,116888.83736800001,89.77637278648234,5557.681643625192,0.565284178187404
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1527,55220.388542,36.162664402095615,17844.685599214146,0.37328094302554027
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,4780,208241.157953,43.56509580606694,16853.717506276153,0.3384937238493724
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,6327,296044.39622,46.790642677414255,36103.02869922554,0.3668405247352616
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3392,163047.664946,48.06829744870283,36181.2002446934,0.35170990566037735
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,502,4077.617669,8.12274436055777,899.7075498007969,0.2450199203187251
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,412,103395.47818,250.95989849514564,579.9994417475727,0.6674757281553398
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,820,-24239.752261,-29.560673489024392,5497.146878048781,0.44146341463414634
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,691,453595.31817600003,656.4331666801737,9928.857409551374,0.27206946454413894
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,652,343414.90621,526.7099788496932,1854.9563036809816,0.5690184049079755
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,715,21651.302288,30.28154166153846,2254.2555804195804,0.08531468531468532
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1980,75037.113718,37.89753218080808,2220.284888888889,0.8010101010101011
